Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	MeanPupil
1	ObjOut	13	61_C_R_M_P_PB_B_P_S	0	1	0.019968
1	ObjOut	13	63_C_R_M_P_PB_P_B_D	0	1	0.062387
1	ObjOut	13	64_C_R_M_I_PB_P_O_S	0	1	-0.006560
1	ObjOut	13	65_T_R_M_I_SP_S_S_S	1	1	0.098346
1	ObjOut	13	67_T_R_M_P_SP_P_S_S	1	1	0.057533
1	ObjOut	13	68_T_R_M_I_SP_P_P_D	1	1	0.027903
1	ObjOut	13	69_T_R_M_P_PS_S_P_S	1	1	0.021387
1	ObjOut	13	70_T_R_M_I_PS_S_S_D	1	1	0.029645
1	ObjOut	13	72_T_R_M_I_PS_P_P_S	1	1	0.042935
1	ObjOut	13	81_T_R_M_P_OB_B_O_S	1	1	0.081839
1	ObjOut	13	82_T_R_M_I_OB_B_B_D	1	1	0.002097
1	ObjOut	13	83_T_R_M_P_BO_O_B_S	1	1	0.053097
1	ObjOut	13	84_T_R_M_I_BO_O_O_D	1	1	-0.016417
1	ObjOut	13	85_T_R_M_I_OB_O_O_S	1	1	0.011387
1	ObjOut	13	86_T_R_M_P_OB_O_B_D	1	1	0.056387
1	ObjOut	13	87_T_R_M_I_BO_B_B_S	1	1	0.016290
1	ObjOut	13	88_T_R_M_P_BO_B_O_D	1	1	0.010742
1	ObjOut	14	49_C_R_M_I_SO_S_B_S	0	1	0.024806
1	ObjOut	14	50_C_R_M_P_SO_S_O_D	0	1	0.011032
1	ObjOut	14	53_C_R_M_P_OS_S_O_S	0	1	0.056935
1	ObjOut	14	56_C_R_M_I_OS_O_P_S	0	1	0.068452
1	ObjOut	14	58_C_R_M_P_BP_B_P_D	0	1	0.024806
1	ObjOut	14	59_C_R_M_P_BP_P_B_S	0	1	0.072000
1	ObjOut	14	61_C_R_M_P_PB_B_P_S	0	1	0.017968
1	ObjOut	14	63_C_R_M_P_PB_P_B_D	0	1	0.083387
1	ObjOut	14	64_C_R_M_I_PB_P_O_S	0	1	0.014440
1	ObjOut	14	65_T_R_M_I_SP_S_S_S	1	1	0.109346
1	ObjOut	14	67_T_R_M_P_SP_P_S_S	1	1	0.065533
1	ObjOut	14	68_T_R_M_I_SP_P_P_D	1	1	0.028903
1	ObjOut	14	69_T_R_M_P_PS_S_P_S	1	1	0.021387
1	ObjOut	14	70_T_R_M_I_PS_S_S_D	1	1	0.027645
1	ObjOut	14	72_T_R_M_I_PS_P_P_S	1	1	0.041935
1	ObjOut	14	81_T_R_M_P_OB_B_O_S	1	1	0.057839
1	ObjOut	14	82_T_R_M_I_OB_B_B_D	1	1	0.004097
1	ObjOut	14	83_T_R_M_P_BO_O_B_S	1	1	0.056097
1	ObjOut	14	84_T_R_M_I_BO_O_O_D	1	1	0.000583
1	ObjOut	14	85_T_R_M_I_OB_O_O_S	1	1	0.036387
1	ObjOut	14	86_T_R_M_P_OB_O_B_D	1	1	0.038387
1	ObjOut	14	87_T_R_M_I_BO_B_B_S	1	1	0.014290
1	ObjOut	14	88_T_R_M_P_BO_B_O_D	1	1	0.008742
1	ObjOut	15	49_C_R_M_I_SO_S_B_S	0	1	0.020806
1	ObjOut	15	50_C_R_M_P_SO_S_O_D	0	1	0.000032
