Participant 	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	15	20_C_H_M_P_SO_O_O_D	0	1	1302
1	ObjOut	15	21_C_H_M_I_OS_S_O_S	0	1	1348
1	ObjOut	15	22_C_H_M_P_OS_S_S_D	0	1	809
1	ObjOut	15	23_C_H_M_I_OS_O_S_D	0	1	1302
1	ObjOut	15	24_C_H_M_P_OS_O_O_S	0	1	821
1	ObjOut	15	26_C_H_M_I_BP_B_P_D	0	1	1309
1	ObjOut	15	27_C_H_M_I_BP_P_B_S	0	1	1320
1	ObjOut	15	28_C_H_M_P_BP_P_P_D	0	1	1345
1	ObjOut	15	29_C_H_M_I_PB_B_P_S	0	1	840
1	ObjOut	15	31_C_H_M_I_PB_P_B_D	0	1	1344
1	ObjOut	15	32_C_H_M_P_PB_P_P_S	0	1	1356
1	ObjOut	15	73_T_H_M_I_SP_S_P_D	1	1	1042
1	ObjOut	15	74_T_H_M_I_SP_P_S_S	1	1	1008
1	ObjOut	15	79_T_H_M_I_PS_S_P_S	1	1	1019
1	ObjOut	15	80_T_H_M_I_PS_P_S_D	1	1	1301
1	ObjOut	15	91_T_H_M_I_BO_O_B_S	1	1	1250
1	ObjOut	15	92_T_H_M_I_BO_B_O_D	1	1	1319
1	ObjOut	15	93_T_H_M_I_OB_O_B_D	1	1	1327
1	ObjOut	16	17_C_H_M_P_SO_S_S_S	0	1	1324
1	ObjOut	16	18_C_H_M_I_SO_S_O_D	0	1	787
1	ObjOut	16	19_C_H_M_I_SO_O_S_S	0	1	1317
1	ObjOut	16	20_C_H_M_P_SO_O_O_D	0	1	1301
1	ObjOut	16	21_C_H_M_I_OS_S_O_S	0	1	1344
1	ObjOut	16	22_C_H_M_P_OS_S_S_D	0	1	812
1	ObjOut	16	23_C_H_M_I_OS_O_S_D	0	1	1302
1	ObjOut	16	24_C_H_M_P_OS_O_O_S	0	1	821
1	ObjOut	16	26_C_H_M_I_BP_B_P_D	0	1	1220
1	ObjOut	16	27_C_H_M_I_BP_P_B_S	0	1	1327
1	ObjOut	16	28_C_H_M_P_BP_P_P_D	0	1	1350
1	ObjOut	16	29_C_H_M_I_PB_B_P_S	0	1	838
1	ObjOut	16	31_C_H_M_I_PB_P_B_D	0	1	1351
1	ObjOut	16	32_C_H_M_P_PB_P_P_S	0	1	1360
1	ObjOut	16	73_T_H_M_I_SP_S_P_D	1	1	963
1	ObjOut	16	74_T_H_M_I_SP_P_S_S	1	1	954
1	ObjOut	16	79_T_H_M_I_PS_S_P_S	1	1	1022
1	ObjOut	16	80_T_H_M_I_PS_P_S_D	1	1	1299
1	ObjOut	16	91_T_H_M_I_BO_O_B_S	1	1	1254
1	ObjOut	16	92_T_H_M_I_BO_B_O_D	1	1	1310
1	ObjOut	16	93_T_H_M_I_OB_O_B_D	1	1	1326
1	ObjOut	17	17_C_H_M_P_SO_S_S_S	0	1	1325
1	ObjOut	17	18_C_H_M_I_SO_S_O_D	0	1	785
1	ObjOut	17	19_C_H_M_I_SO_O_S_S	0	1	1311
1	ObjOut	17	20_C_H_M_P_SO_O_O_D	0	1	1295
1	ObjOut	17	21_C_H_M_I_OS_S_O_S	0	1	1345
1	ObjOut	17	22_C_H_M_P_OS_S_S_D	0	1	808
1	ObjOut	17	23_C_H_M_I_OS_O_S_D	0	1	1303
1	ObjOut	17	24_C_H_M_P_OS_O_O_S	0	1	829
1	ObjOut	17	26_C_H_M_I_BP_B_P_D	0	1	1019
1	ObjOut	17	27_C_H_M_I_BP_P_B_S	0	1	1316
1	ObjOut	17	28_C_H_M_P_BP_P_P_D	0	1	1335
1	ObjOut	17	29_C_H_M_I_PB_B_P_S	0	1	838
1	ObjOut	17	31_C_H_M_I_PB_P_B_D	0	1	1348
1	ObjOut	17	32_C_H_M_P_PB_P_P_S	0	1	1360
1	ObjOut	17	73_T_H_M_I_SP_S_P_D	1	1	967
1	ObjOut	17	74_T_H_M_I_SP_P_S_S	1	1	936
1	ObjOut	17	79_T_H_M_I_PS_S_P_S	1	1	1029
1	ObjOut	17	80_T_H_M_I_PS_P_S_D	1	1	1294
1	ObjOut	17	91_T_H_M_I_BO_O_B_S	1	1	1257
1	ObjOut	17	92_T_H_M_I_BO_B_O_D	1	1	1312
1	ObjOut	17	93_T_H_M_I_OB_O_B_D	1	1	1323
1	ObjOut	18	17_C_H_M_P_SO_S_S_S	0	1	1333
1	ObjOut	18	18_C_H_M_I_SO_S_O_D	0	1	786
1	ObjOut	18	19_C_H_M_I_SO_O_S_S	0	1	1313
1	ObjOut	18	20_C_H_M_P_SO_O_O_D	0	1	1290
1	ObjOut	18	21_C_H_M_I_OS_S_O_S	0	1	1350
1	ObjOut	18	22_C_H_M_P_OS_S_S_D	0	1	812
1	ObjOut	18	23_C_H_M_I_OS_O_S_D	0	1	1302
1	ObjOut	18	24_C_H_M_P_OS_O_O_S	0	1	819
1	ObjOut	18	26_C_H_M_I_BP_B_P_D	0	1	997
1	ObjOut	18	27_C_H_M_I_BP_P_B_S	0	1	1312
1	ObjOut	18	28_C_H_M_P_BP_P_P_D	0	1	1333
1	ObjOut	18	29_C_H_M_I_PB_B_P_S	0	1	840
1	ObjOut	18	31_C_H_M_I_PB_P_B_D	0	1	1349
1	ObjOut	18	32_C_H_M_P_PB_P_P_S	0	1	1357
1	ObjOut	18	73_T_H_M_I_SP_S_P_D	1	1	970
1	ObjOut	18	74_T_H_M_I_SP_P_S_S	1	1	925
1	ObjOut	18	79_T_H_M_I_PS_S_P_S	1	1	1028
1	ObjOut	18	80_T_H_M_I_PS_P_S_D	1	1	1294
1	ObjOut	18	91_T_H_M_I_BO_O_B_S	1	1	1252
1	ObjOut	18	92_T_H_M_I_BO_B_O_D	1	1	1320
1	ObjOut	18	93_T_H_M_I_OB_O_B_D	1	1	1326
1	ObjOut	19	17_C_H_M_P_SO_S_S_S	0	1	1335
1	ObjOut	19	18_C_H_M_I_SO_S_O_D	0	1	791
1	ObjOut	19	19_C_H_M_I_SO_O_S_S	0	1	1318
1	ObjOut	19	20_C_H_M_P_SO_O_O_D	0	1	1292
1	ObjOut	19	21_C_H_M_I_OS_S_O_S	0	1	1342
1	ObjOut	19	22_C_H_M_P_OS_S_S_D	0	1	983
1	ObjOut	19	23_C_H_M_I_OS_O_S_D	0	1	1301
1	ObjOut	19	24_C_H_M_P_OS_O_O_S	0	1	816
1	ObjOut	19	26_C_H_M_I_BP_B_P_D	0	1	970
1	ObjOut	19	27_C_H_M_I_BP_P_B_S	0	1	1322
1	ObjOut	19	28_C_H_M_P_BP_P_P_D	0	1	1336
1	ObjOut	19	29_C_H_M_I_PB_B_P_S	0	1	838
1	ObjOut	19	31_C_H_M_I_PB_P_B_D	0	1	1348
1	ObjOut	19	32_C_H_M_P_PB_P_P_S	0	1	1358
1	ObjOut	19	73_T_H_M_I_SP_S_P_D	1	1	973
1	ObjOut	19	74_T_H_M_I_SP_P_S_S	1	1	932
1	ObjOut	19	79_T_H_M_I_PS_S_P_S	1	1	1026
1	ObjOut	19	80_T_H_M_I_PS_P_S_D	1	1	1296
1	ObjOut	19	91_T_H_M_I_BO_O_B_S	1	1	1251
1	ObjOut	19	92_T_H_M_I_BO_B_O_D	1	1	1318
1	ObjOut	19	93_T_H_M_I_OB_O_B_D	1	1	1327
1	ObjOut	20	17_C_H_M_P_SO_S_S_S	0	1	1332
1	ObjOut	20	18_C_H_M_I_SO_S_O_D	0	1	788
1	ObjOut	20	19_C_H_M_I_SO_O_S_S	0	1	1320
1	ObjOut	20	20_C_H_M_P_SO_O_O_D	0	1	1300
1	ObjOut	20	21_C_H_M_I_OS_S_O_S	0	1	1344
1	ObjOut	20	22_C_H_M_P_OS_S_S_D	0	1	973
1	ObjOut	20	23_C_H_M_I_OS_O_S_D	0	1	1304
1	ObjOut	20	24_C_H_M_P_OS_O_O_S	0	1	822
1	ObjOut	20	26_C_H_M_I_BP_B_P_D	0	1	977
